from,to,arrow.size,relation
N-hsa04010-80,N-hsa04010-71,0.2,activation
N-hsa04010-80,N-hsa04010-57,0.2,activation
N-hsa04010-81,N-hsa04010-72,0.2,activation
N-hsa04010-81,N-hsa04010-71,0.2,activation
N-hsa04010-82,N-hsa04010-72,0.2,activation
N-hsa04010-82,N-hsa04010-71,0.2,activation
N-hsa04010-83,N-hsa04010-110,0.2,activation
N-hsa04010-84,N-hsa04010-110,0.2,activation
N-hsa04010-85,N-hsa04010-110,0.2,activation
N-hsa04010-90,N-hsa04010-80,0.2,activation
N-hsa04010-91,N-hsa04010-78,0.2,activation
N-hsa04010-93,N-hsa04010-81,0.2,activation
N-hsa04010-94,N-hsa04010-86,0.2,activation
N-hsa04010-94,N-hsa04010-81,0.2,activation
N-hsa04010-94,N-hsa04010-123 125,0.2,activation
N-hsa04010-95,N-hsa04010-87,0.2,activation
N-hsa04010-95,N-hsa04010-106,0.2,activation
N-hsa04010-95,N-hsa04010-123 125,0.2,activation
N-hsa04010-96,N-hsa04010-90,0.2,activation
N-hsa04010-97,N-hsa04010-93,0.2,activation
N-hsa04010-98,N-hsa04010-93,0.2,activation
N-hsa04010-99,N-hsa04010-95,0.2,activation
N-hsa04010-99,N-hsa04010-90,0.2,activation
N-hsa04010-99,N-hsa04010-88 92,0.2,activation
N-hsa04010-99,N-hsa04010-89 92,0.2,activation
N-hsa04010-100,N-hsa04010-95,0.2,activation
N-hsa04010-100,N-hsa04010-94,0.2,activation
N-hsa04010-100,N-hsa04010-90,0.2,activation
N-hsa04010-100,N-hsa04010-88 92,0.2,activation
N-hsa04010-100,N-hsa04010-89 92,0.2,activation
N-hsa04010-101,N-hsa04010-97,0.2,activation
N-hsa04010-102,N-hsa04010-99,0.2,activation
N-hsa04010-103,N-hsa04010-100,0.2,activation
N-hsa04010-104,N-hsa04010-79,0.2,activation
N-hsa04010-105,N-hsa04010-106,0.2,activation
N-hsa04010-105,N-hsa04010-123 125,0.2,activation
N-hsa04010-106,N-hsa04010-107,0.2,activation
N-hsa04010-110,N-hsa04010-111,0.2,activation
N-hsa04010-111,N-hsa04010-118,0.2,activation
N-hsa04010-111,N-hsa04010-117,0.2,activation
N-hsa04010-111,N-hsa04010-67,0.2,activation
N-hsa04010-111,N-hsa04010-66,0.2,activation
N-hsa04010-111,N-hsa04010-120,0.2,inhibition
N-hsa04010-111,N-hsa04010-119,0.2,inhibition
N-hsa04010-115,N-hsa04010-111,0.2,inhibition
N-hsa04010-116,N-hsa04010-111,0.2,inhibition
N-hsa04010-121,N-hsa04010-120,0.2,activation
N-hsa04010-121,N-hsa04010-119,0.2,activation
N-hsa04010-126,N-hsa04010-17,0.2,activation
N-hsa04010-126,N-hsa04010-16,0.2,activation
N-hsa04010-126,N-hsa04010-19 21,0.2,activation
N-hsa04010-126,N-hsa04010-19 20,0.2,activation
N-hsa04010-128,N-hsa04010-123 125,0.2,activation
N-hsa04010-135,N-hsa04010-134,0.2,activation
N-hsa04010-136,N-hsa04010-134,0.2,activation
N-hsa04010-130 132 133,N-hsa04010-129,0.2,activation
N-hsa04010-19 21,N-hsa04010-18,0.2,activation
N-hsa04010-19 20,N-hsa04010-18,0.2,activation
N-hsa04010-34 36,N-hsa04010-32,0.2,activation
N-hsa04010-89 92,N-hsa04010-80,0.2,activation
N-hsa04010-108 127,N-hsa04010-109 123,0.2,activation
N-hsa04010-109 123,N-hsa04010-110,0.2,activation
N-hsa04010-112 113,N-hsa04010-111,0.2,activation
N-hsa04010-112 124,N-hsa04010-111,0.2,activation
N-hsa04010-112 114,N-hsa04010-111,0.2,activation
N-hsa04010-123 125,N-hsa04010-16,0.2,activation
N-hsa04010-123 125,N-hsa04010-19 21,0.2,activation
N-hsa04010-123 125,N-hsa04010-19 20,0.2,activation
N-hsa04010-123 125,N-hsa04010-112 113,0.2,activation
N-hsa04010-123 125,N-hsa04010-112 124,0.2,activation
N-hsa04010-123 125,N-hsa04010-112 114,0.2,activation
N-hsa04010-36 37,N-hsa04010-34 36,0.2,activation
N-hsa04010-36 38,N-hsa04010-34 36,0.2,activation
N-hsa04010-36 39,N-hsa04010-34 36,0.2,activation
N-hsa04010-36 40,N-hsa04010-34 36,0.2,activation
N-hsa04010-15,N-hsa04010-15_func,0.2,activation
N-hsa04010-13,N-hsa04010-13_func,0.2,activation
N-hsa04010-12,N-hsa04010-12_func,0.2,activation
N-hsa04010-131,N-hsa04010-131_func,0.2,activation
N-hsa04010-61,N-hsa04010-61_func,0.2,activation
N-hsa04010-79,N-hsa04010-79_func,0.2,activation
N-hsa04010-68,N-hsa04010-68_func,0.2,activation
N-hsa04010-67,N-hsa04010-67_func,0.2,activation
N-hsa04010-66,N-hsa04010-66_func,0.2,activation
N-hsa04010-65,N-hsa04010-65_func,0.2,activation
N-hsa04010-64,N-hsa04010-64_func,0.2,activation
N-hsa04010-63,N-hsa04010-63_func,0.2,activation
N-hsa04010-62,N-hsa04010-62_func,0.2,activation
N-hsa04010-58,N-hsa04010-58_func,0.2,activation
N-hsa04010-57,N-hsa04010-57_func,0.2,activation
N-hsa04010-86,N-hsa04010-86_func,0.2,activation
N-hsa04010-87,N-hsa04010-87_func,0.2,activation
N-hsa04010-88 92,N-hsa04010-88 92_func,0.2,activation
N-hsa04010-118,N-hsa04010-118_func,0.2,activation
N-hsa04010-117,N-hsa04010-117_func,0.2,activation
N-hsa04010-120,N-hsa04010-120_func,0.2,activation
N-hsa04010-119,N-hsa04010-119_func,0.2,activation
N-hsa04010-134,N-hsa04010-134_func,0.2,activation
